"","month","milk_production","_time","holiday"
"1","1962-01",589,86400,0
"2","1962-02",561,2764800,0
"3","1962-03",640,5184000,0
"4","1962-04",656,7862400,0
"5","1962-05",727,10450800,0
"6","1962-06",697,13129200,1
"7","1962-07",640,15721200,0
"8","1962-08",599,18399600,0
"9","1962-09",568,21078000,0
"10","1962-10",577,23670000,0
"11","1962-11",553,26352000,0
"12","1962-12",582,28944000,0
"13","1963-01",600,31622400,1
"14","1963-02",566,34300800,0
"15","1963-03",653,36720000,0
"16","1963-04",673,39398400,0
"17","1963-05",742,41986800,0
"18","1963-06",716,44665200,0
"19","1963-07",660,47257200,0
"20","1963-08",617,49935600,0
"21","1963-09",583,52614000,0
"22","1963-10",587,55206000,0
"23","1963-11",565,57888000,0
"24","1963-12",598,60480000,1
"25","1964-01",628,63158400,1
"26","1964-02",618,65836800,0
"27","1964-03",688,68342400,0
"28","1964-04",705,71020800,0
"29","1964-05",770,73609200,0
"30","1964-06",736,76287600,0
"31","1964-07",678,78879600,0
"32","1964-08",639,81558000,0
"33","1964-09",604,84236400,0
"34","1964-10",611,86828400,0
"35","1964-11",594,89510400,0
"36","1964-12",634,92102400,0
"37","1965-01",658,94780800,0
"38","1965-02",622,97459200,0
"39","1965-03",709,99878400,0
"40","1965-04",722,102556800,0
"41","1965-05",782,105145200,1
"42","1965-06",756,107823600,0
"43","1965-07",702,110415600,0
"44","1965-08",653,113094000,0
"45","1965-09",615,115772400,1
"46","1965-10",621,118364400,1
"47","1965-11",602,121046400,0
"48","1965-12",635,123638400,0
"49","1966-01",677,126316800,0
"50","1966-02",635,128995200,0
"51","1966-03",736,131414400,0
"52","1966-04",755,134092800,0
"53","1966-05",811,136681200,0
"54","1966-06",798,139359600,0
"55","1966-07",735,141951600,1
"56","1966-08",697,144630000,0
"57","1966-09",661,147308400,0
"58","1966-10",667,149900400,0
"59","1966-11",645,152582400,0
"60","1966-12",688,155174400,1
"61","1967-01",713,157852800,0
"62","1967-02",667,160531200,0
"63","1967-03",762,162950400,0
"64","1967-04",784,165628800,0
"65","1967-05",837,168217200,0
"66","1967-06",817,170895600,0
"67","1967-07",767,173487600,0
"68","1967-08",722,176166000,0
"69","1967-09",681,178844400,0
"70","1967-10",687,181436400,0
"71","1967-11",660,184118400,0
"72","1967-12",698,186710400,0
"73","1968-01",717,189388800,0
"74","1968-02",696,192067200,0
"75","1968-03",775,194572800,0
"76","1968-04",796,197251200,0
"77","1968-05",858,199839600,0
"78","1968-06",826,202518000,0
"79","1968-07",783,205110000,0
"80","1968-08",740,207788400,1
"81","1968-09",701,210466800,0
"82","1968-10",706,213058800,0
"83","1968-11",677,215740800,0
"84","1968-12",711,218332800,0
"85","1969-01",734,221011200,0
"86","1969-02",690,223689600,0
"87","1969-03",785,226108800,0
"88","1969-04",805,228787200,0
"89","1969-05",871,231375600,0
"90","1969-06",845,234054000,0
"91","1969-07",801,236646000,0
"92","1969-08",764,239324400,0
"93","1969-09",725,242002800,0
"94","1969-10",723,244594800,1
"95","1969-11",690,247276800,0
"96","1969-12",734,249868800,0
"97","1970-01",750,252547200,0
"98","1970-02",707,255225600,0
"99","1970-03",807,257644800,0
"100","1970-04",824,260323200,0
"101","1970-05",886,262911600,0
"102","1970-06",859,265590000,0
"103","1970-07",819,268182000,0
"104","1970-08",783,270860400,0
"105","1970-09",740,273538800,0
"106","1970-10",747,276130800,0
"107","1970-11",711,278812800,0
"108","1970-12",751,281404800,0
"109","1971-01",804,284083200,1
"110","1971-02",756,286761600,1
"111","1971-03",860,289180800,0
"112","1971-04",878,291859200,0
"113","1971-05",942,294447600,0
"114","1971-06",913,297126000,0
"115","1971-07",869,299718000,0
"116","1971-08",834,302396400,0
"117","1971-09",790,305074800,0
"118","1971-10",800,307666800,0
"119","1971-11",763,310348800,0
"120","1971-12",800,312940800,0
"121","1972-01",826,315619200,0
"122","1972-02",799,318297600,0
"123","1972-03",890,320803200,0
"124","1972-04",900,323481600,0
"125","1972-05",961,326070000,0
"126","1972-06",935,328748400,0
"127","1972-07",894,331340400,0
"128","1972-08",855,334018800,0
"129","1972-09",809,336697200,0
"130","1972-10",810,339289200,1
"131","1972-11",766,341971200,0
"132","1972-12",805,344563200,0
"133","1973-01",821,347241600,0
"134","1973-02",773,349920000,0
"135","1973-03",883,352339200,1
"136","1973-04",898,355017600,1
"137","1973-05",957,357606000,0
"138","1973-06",924,360284400,0
"139","1973-07",881,362876400,0
"140","1973-08",837,365554800,0
"141","1973-09",784,368233200,0
"142","1973-10",791,370825200,0
"143","1973-11",760,373507200,0
"144","1973-12",802,376099200,0
"145","1974-01",828,378777600,0
"146","1974-02",778,381452400,1
"147","1974-03",889,383871600,0
"148","1974-04",902,386550000,0
"149","1974-05",969,389142000,0
"150","1974-06",947,391820400,0
"151","1974-07",908,394412400,1
"152","1974-08",867,397090800,0
"153","1974-09",815,399769200,0
"154","1974-10",812,402361200,0
"155","1974-11",773,405043200,1
"156","1974-12",813,407635200,0
"157","1975-01",834,410313600,0
"158","1975-02",782,412992000,0
"159","1975-03",892,415407600,1
"160","1975-04",903,418086000,1
"161","1975-05",966,420678000,0
"162","1975-06",937,423356400,0
"163","1975-07",896,425948400,0
"164","1975-08",858,428626800,0
"165","1975-09",817,431305200,0
"166","1975-10",827,433897200,0
"167","1975-11",797,436579200,0
"168","1975-12",843,439171200,0
